Name,About,Experience
Philip McDaniel,"Executive leader with 30 years experience in operations and program management who is Six-Sigma Trained and PMP certified. Elevates organizational productivity, efficiency, and infrastructures through skillful development, implementation, and management of strategies, objectives and goals. Directed and collaborated on multi-million dollar budgets, international relationships, organizational development and capability creation. Track record of success developing and motivating cross-functional teams to produce results and exceed expectations.

Specialties: • Program/Project Management
• Process Improvement
• Operations Management
• Organizational Development
• Developing high performing Teams
• Strategic Planning and Goal Development
• Mentoring, Coaching, and Training
• International relationships",Supporting Air Force Space Command to operationalize and normalize cyberspace operations through development of cyberspace weapon systems. Guiding the development of cyber mission forces to support Combatant Commanders requirements.
Brendan Crowley,"Over 15 years of professional experience in acquisition, contracts, and program management of multi-million dollar U.S. Navy and Joint Acquisition Category (ACAT) ID Major Defense Acquisition Programs (MDAP). This experience includes planning and executing acquisition programs, developing solicitation packages that incorporate acquisition reform and streamlining initiatives, supporting MDAPs reviews and administering major defense contracts. I'm well versed Federal Acquisition Regulation (FAR), the Department of Defense (DoD) FAR Supplement (DFARS), Other Transaction Agreements (OTA), Service-specific FAR supplements, and the latest changes to the DoD Series 5000. I enjoy the opportunity to further my clients' mission -- serving our warfighters!",Lead Associate
Victor Rizzo,"After 25 years of maintaining aircraft, operating satellites and managing multi-million dollar space programs for the Air Force, I'm now looking for opportunities to share my enthusiasm, expertise and experience to help businesses grow. I find the world a fascinating place, particularly the people in it. Above all, I enjoy getting to know those around me, and sharing lessons learned so we both can grow from the experience.

I have a passion for customer service, and enjoy examples of that being handled well in real life. Also, I enjoy studying examples of good and bad leadership, trying to learn why some people are so successful at leading teams to achieve amazing things.

Otherwise, I spend my time enjoying and learning about just about anything. I’ve recently joined a masters swimming club with no previous swimming background. I look forward to every workout to improve my swimming technique.",Lead Associate
George Franco,"Broad management consulting experience advising U.S. government organizations and foreign partners in dealing with their most difficult international security and political risk challenges—from terrorism in the Middle East and security threats in the Asia-Pacific region, to great power competition in Europe and instability in Latin America. Strategy-oriented leader and problem solver with skills in:

• Project Management • Business Development and Proposals • Client Relationship Management • Financial Management • Employee Coaching and Career Management • Policy Development and Strategic Planning • International Partner Development • Investment Analysis

Retired Special Forces lieutenant colonel with operational deployments throughout Latin America and in Afghanistan. While in uniform, served as Assistant for Counterterrorism Programs in the Office of the Secretary of Defense (2007-2008) and as Strategist to the Chairman of the Joint Chiefs of Staff (CJCS) (2005-2007).",Lead Associate
Richard Howell,"Over 36 years of experience in multiple aspects of civil engineering, facilities and infrastructure operations and management, design & construction, programming and planning, environmental management, disaster and emergency response and operations. Managed a wide variety of programs to include contract facility maintenance; facility planning, programming and budgeting; construction management; fire and emergency services, and environmental compliance. Contract facility maintenance experience includes identifying requirements, developing statements of work, completing source selections and conducting quality assurance evaluations. Planning, programming and budgeting and construction management experience includes work in support of multiple DoD installations across the globe. Experienced facilitator supporting the Secretary of the Air Force's Air Force Community Partnership Program. Breadth of experience includes positions of leadership and responsibility at every level in Air Force Civil Engineering as well as command experience as base civil engineer commander and Mission Support Group commander, with a proven record of superior performance documented by productivity results and major awards. Experienced in buisness development, contract managment, proposal writing, client relations and service, team management, facilitation and more. A respected leader with strong leadership, management, communication and people skills; well known for innovation and visionary action. Previously held Top Secret (SCI) clearance and currently maintains a Secret clearance.","Title
Lead Associate
Dates Employed
Jul 2011 – Present
Employment Duration
9 yrs 5 mos
Provides facilities planning, operations and management support, as well as engineering and environmental management expertise and facilitation support to multiple clients across the United States Air Force.
Provides facilitation support for the Assistant Secretary of the Air Force for Installations, Environment, and Energy in the Air Force Community Partnership Program across numerous installations.
Provides management consulting to Air Staff Civil Engineers, including direct support to the Facilities Management Division Chief in Governance and operations, as well as support in providing research, analysis and program expertise and develops project approval packages for Assistant Secretary of the Air Force and Congressional approvals.
Led support to Headquarters Air Force Global Strike Command (AFGSC) civil engineers, including programming, operations and maintenance, data management, facilities planning, emergency services, community planning, energy, readiness, architecture and engineering, construction management, asset management and organizational change and program management. Provided facility planning, design and execution management for more than $280M in design and construction supporting standup of HQ AFGSC. Led support in planning, coordinating, organizing, managing and executing all requirements to bed down nearly 1,000 new HQ personnel. Assisted clients develop and define operational structure and processes, developing manuals and guides to assist in training personnel in these processes and operations. Developed and presented training for all AFGSC bases on the new command programming operations and manuals. Developed the new AFGSC facilities assessment program guide, outlining processes, methodologies and resources for implementing sustained infrastructure assessment capabilities.
Provided tactical and strategic support with business development and strategy to build new business opportunities with numerous DOD and Federal clients.
…
see more
Title
Associate
Dates Employed
Apr 2009 – Jul 2011
Employment Duration
2 yrs 4 mos
Provided civil and environmental engineering expertise and support. Co-authored the Air Force Commander’s Guide to the Environmental Management System (EMS) for HQ Air Mobility Command (AMC). The document was immediately sought out by numerous other AF users. Built a Commander’s EMS training program for HQ AMC. Completed eight (8) playbooks (specific program “how-to” manuals) adopted by HQ Air Force (HAF) Civil Engineering, for Military Construction Program (MILCON) management processes. Reviewed, edited and prepared numerous Natural Infrastructure Assessment Reports for Air Combat Command (ACC). Provided Program Management Office (PMO) leadership and technical support to the Air Force Center for Engineering and the Environment (AFCEE) at Joint Base Andrews, MD. Led a 15 member team supporting HAF A7CRT (O&S) providing oversight, management and primary client interface for all AF Civil Engineer legacy IT system activities and services. Provided subject matter expertise to a HAF panel on facilities and infrastructure energy matters for development of its new data management system. Assisted in the development of process models for the AF Built Infrastructure processes as part of the development of its new data management system. Provided facilities and infrastructure expertise in supporting a HQ Space Command initiative to execute space optimization studies and analysis across the command bases. As a team member on multiple base assessments, physically surveyed, interviewed and provided detailed analysis of multiple organizational users at Vandenberg AFB, Patrick AFB and Cape Canaveral AFS. Developed space authorizations based on the most current HAF guidance, pulled together inputs from the total team to develop over 20 project recommendations to assist the bases meet the HAF mandate to reduce footprint, operational costs, energy consumption and greenhouse gas emissions.
…
see more"
William King,"Entered active duty in July 1987 with a baccalaureate in Chemistry and distinguished military graduate honors at the University of Richmond, VA. My military education and honors includes honor graduate Chem Officers Basic, distinguished honor graduate (DHG) Hazardous Materials Management Course, DHG Advance Courses, Combined Arms Service Staff School, U.S. Army Command and General Staff College, U.S. Army School of Advanced Military Studies, Army Force Management College, distinguished graduate Industrial College of the Armed Forces War College, and Airborne and honor graduate of Air Assault Schools. I have also earned Master degrees in Arts and Science from the Command and General Staff College in General Military Studies and Space Applications, from the School of Advanced Military Studies in Theater Operations and Planning, and from the Industrial College of the Armed Forces in National Resource Strategy.

Prev: Bn Chem Officer, 1st Bn, 3d Field Artillery, 2d Armored Division; Smoke Plt Leader and Co XO, 46th Chemical Company, 2d Chemical Bn; Bn S1, 2d Chem Bn; Aide-de-Camp, DCG, III Corps; Division Chem Training Officer, DISCOM Chem Officer, Company Cdr, 91st Chem Company, 24th Infantry Division, Bn S3, 703d MSB, 3d Infantry Division, G3 Chief Plans Officer, 8th U.S. Army in Yongsan, Korea, Chief, Concepts, DCD US Army MSCoE, Bn XO, 84th Chem Bn, System Synch Officer for Army CBRN Defense systems, HQDA G8; Cdr, 23d Chem Bn; Cdr, 555th CSB (ME) (Rear); Chief of Plans and Future Operations, I Corps, Chief, Orders, Strategic Targeting, Effects, and Security Assessment Division CJ3, MNF-I, Cdr, DPG, Dugway, UT, ACoS G3, 20th SUPCOM(CBRNE), G3/5/7/9 for 8th US Army in Seoul Korea, CG 20th CBRNE Command, APG, MD, and Executive Consulting/Advisor, US National Security with Booz Allen Hamilton.

Specialties: Chemical, Biological, Radiological, and Nuclear Operations
Strategic, Operational, and Tactical Planner; National Security Strategy; WMD; Leading large organizations",EMPTY
Kippie Pete,EMPTY,"Modeling and Simulation, Wargaming and Analysis
Clients: USJFCOM J7/J8, Joint Staff J7, Fleet Forces Command, EOD Group TWO, AF Command and Control Center, HQ AFNORTH, HQ Air Combat Command, US Army Training and Doctrine Command
JCIDS Requirements Development
Business Development USAF Market"
Julia Makiejus,EMPTY,Aviation Environmental Specialist
Jay Nash,EMPTY,"Serve as an on-site consultant for the United States Air Force Director of Civil Engineering, Installation Strategy and Plans Division. In this position, support overall implementation of 32 CFR 989 and the AF Environmental Impact Analysis Process (EIAP) in order to comply with the National Environmental Policy Act (NEPA). Work includes establishing AF policy on implementation of the EIAP process, as well as performing Headquarters oversight on all NEPA related actions as they relate to new mission beddowns and relocations, air space initiatives, housing initiatives, and Military Construction (MILCON) projects. Ensure that all AF NEPA actions comply with Federal Laws, Executive Orders as required. Responsible for maintaining working relationships with other Federal agencies on specific NEPA projects. Prepare briefings to Air Force senior leadership on progress of NEPA actions as well as providing guidance on potential litigations. Additionally, have overseen and driven major EIAP policy efforts, directed by AF senior Leadership, to get NEPA back to basics and reduce timelines.
…
see more"
Rebecca Westing,Accomplished spacecraft analyst and executive officer with a proven ability to solve difficult problems and accomplish,"Helped define the time message in the PNT Architecture (PNTA) Standard to support development of the first-ever DoD-wide technical standard for normalizing complimentary PNT data passing across disjointed systems. Member of Model Based Systems Engineering (MBSE) Team on the ROPS contract developing the next generation Resilient Embedded GPS/Inertial Navigation System (R-EGI), where an open PNT architecture will be applied to proof-of-concept designs. Practices agile methodology as the scrummaster for a large, diverse, geographically separated team."
Cassie Kurtz,"More than 20 years of successful management and leadership experience with a reputation for meeting the most challenging organizational goals and objectives. A pragmatic and focused individual recognized for thriving in complex environments and rising to any challenge. A proven and verifiable record for:

•Producing high performance standards and enhancing productivity during a period of shrinking budgets
•Keen ability to connect with staff, provide career guidance, and facilitate growth within the organization
•Established relationships and in-depth experience working with Intelligence Organizations at all levels
•Excellent technical proposal development skills with broad experience ranging from capture to submission, including team mentoring in the business life-cycle
•Contract execution from kickoff to closeout with the highest standards of delivery for a myriad of clients

Specialties: Program Management, Space & Counterspace Intelligence Analysis, Proposal Development, Team & Individual Growth & Development

Key Programs: INSCOM Global Intelligence Support Services (GISS); Foreign Air, Space & Technologies III / IV (prime); Advanced Technical Exploitation Program I / II (sub)","Title
Principal / Director
Dates Employed
Jan 2019 – Present
Employment Duration
1 yr 11 mos
Title
Sr. Associate
Dates Employed
Dec 2017 – Present
Employment Duration
3 yrs
Location
Sacramento, California Area
Title
Sr. Associate
Dates Employed
Jun 2007 – Present
Employment Duration
13 yrs 6 mos
Location
dayton, ohio area
Foreign Air, Space and Technologies (FAST) III/IV, Counterspace Analysis Support Program (CASP) I/II Technical Support to Counterspace (CAP), Advanced Technical Exploitation Program (ATEP) I/II, Debutante BOA, FINCH BOA Program Manager
•Involved in all aspects of the programs from capture to task order (TO) delivery
•Maintain contract financials, manage risks, budgets and staffing actions, develop work breakdown structure (WBS), estimate to complete (ETC), spend plans, kickoff, execution, and closeout actions
•Responsible for technical delivery on multiple task orders, including management of client-facing staff

Capture and Proposal Development
•Reputation for being one of the strongest proposal development staff across the Dayton Team with core skill of being able to communicate and lead groups in developing high-quality proposals and craft them into compelling stories using technical writing abilities
•Routinely deployed across markets to facilitate capture and proposal development
•Well-versed in teaming, subcontracting, blueprinting, color team reviews, and technical revisions
•Develop strategic shaping strategy and tactical selling plans including contact lists, white paper pipeline, marketing campaign, slick sheets, and technology focus client engagements

Resource Management
•Identified key staffing needs for contingent and sold/funded business opportunities, developed job descriptions and worked with human resource management staff to screen, interview, and hire applicants
•Participated in multiple job fairs to target a diverse set of applicants for hard-to-fill positions
•Manage and lead a cadre of intelligence professionals in client delivery for multiple contract vehicles
•Responsible for the development of multiple staff including annual assessments, mentoring, and career progression
•Keen ability to match resources with existing work-streams to balance staff development and profit line on existing projects
…
see more
Title
Sr. Associate; All-Source Intelligence Analysis Consulting for Multiple Clients
Dates Employed
Jun 2007 – Present
Employment Duration
13 yrs 6 mos
Location
Dayton, Ohio Area
•Used multiple sources of intelligence to correlate real-world threat to U.S. systems, including signals intelligence (SIGINT), human intelligence (HUMINT), Geospatial Intelligence (GEOINT), and open source intelligence (OSINT) and databases
•Intelligence analyst focused on the analysis of nation of interests’ threat employment to include intentions and motivations; tactics, techniques, and procedures (TTP); capabilities; and vulnerabilities
•Produced a full space and counterspace product line, including the National Air & Space Intelligence Center (NASIC) Space Shield, Space Employment Analysis Reports (SpEAR), NASIC Analysis Reports (NAR), NASIC Analysis Bulletins (NAB), and Quicklooks, and contributed to multiple community product lines such as Community Statuses, Intelligence Estimates, and National Intelligence Bulletins
•Prepared and presented critical deliverables for national decision makers such as the U.S. Department of State and operational planners at multiple combatant commands (COCOM), tailoring products to the audience
•Coordinated technical exchange meetings (TEM), integrated product team (IPT) meetings, and working groups for Joint Functional Component Command for Space (JFCC-SPACE), Air Force Space Command (AFSPC), Defense Intelligence Agency (DIA), National Security Agency (NSA), NASIC, National Reconnaissance Office, U.S. Strategic Command (USSTRATCOM), National Geospatial-Intelligence Agency (NGA), SPP, and multiple COCOMs
•Future technology forecasting: drafted comprehensive Technical Assessments for publication and presentation to Senior leadership audience
…
see more"
Andrew Weaver,"Experienced Personnel Director skilled in Joint Military Operations, Operational Planning, Team Building, Joint Planning,",Associate
Michael Raynoha,"15+ years in the U.S. & Coalition Intelligence Community specializing in Signals Intelligence, All-Source and Imagery. Led teams of up to 140 personnel in high-pressure 24/7 combat support operations. Developed, acquired support and resources, and implemented numerous programs and projects up to $27M significantly improving intelligence effectiveness and efficiency across the Air Force, National Security Agency and 28-nation NATO Alliance.",Senior Defense Analyst
Jacqueline Murray,"Executive level professional with a strong record of success both in DoD acquisition and Executive-level positions within the defense industry. Over 25 years of proven excellence in delivering Information Technology (IT) solutions and developing Corporate Business Development strategies that resulted in financial growth. Detailed understanding of Air Force acquisition, logistics, finance, and engineering. Diverse background serving in multiple roles as a Senior Business Developer in industry, a senior government leader in IT and logistics, and a Senior Principal in a Federally Funded Research and Development Center.","Senior Lead Technologist responsible for delivering integrated Information Technology enterprise solutions to the Department of Defense, utilizing scalable technical architectures within an integrated DoD business architecture while employing Commercial Cloud environments."
Paul D.,Associate at Booz Allen Hamilton,Senior Space Situational Awareness Analyst
Paul D.,Associate at Booz Allen Hamilton,Senior Space Situational Awareness Analyst
Ernest Calbillo,"Expert in several functional areas with over 25 years of experience in military law enforcement, safety, training, and management principles. Mature, dedicated and highly motivated individual that exhibits outstanding interpersonal and communication skills. Specific areas of expertise are security and law enforcement procedures, investigations, physical security, and anti-terrorism/force protection. Maintains a superb record of accomplishment combined with the capacity to inspect, train, and develop personnel in the performance of their daily activities according to the rules and regulations that are provided. Possesses an extensive background in analyzing and resolving complex issues, while developing and instituting competent work center practices. Demonstrates a pleasurable behavior as a decision maker and is an effective technical problem solver, able to operate independently or as an integral part of a team effort.",Senior Consultant
Erik Martin,EMPTY,EMPTY
Dean Riley,"Geologist with extensive experience in project management, geological mapping, field spectroscopy, multispectral and hyperspectral sensors for geological and environmental studies.

Also, Lieutenant Colonel in the U.S. Army Reserves with a specialty in Civil Affairs and has deployed to Afghanistan and Iraq.

Specialties: Geology, Field Spectroscopy, Multispectral and Hyperspectral Remote Sensing, Resource Exploration, U.S. Army Civil Affairs","Title
Senior Lead Scientist
Dates Employed
Dec 2018 – Present
Employment Duration
2 yrs
Location
Herndon
• Develop algorithms for panchromatic, multispectral, infrared, hyperspectral, radar, seismic, and multi-temporal sensors, geospatial, digital elevation model and/or data that can be applied in a cloud environment.
• Integrate disparate tools in various programming languages and data formats using IDL, Matlab, and/or Python.
• Provide image analysis, data processing, data analysis, and analytic support using AGITK, Remote View, ENVI, ERDAS Imagine, ArcGIS.
• Apply principles, methods, and knowledge of functional areas and exceptionally difficult and narrowly defined technical problems in engineering and other scientific applications.
• Revise existing systems and procedures to correct deficiencies and maintain effective data handling.
• Proposal and technical writing.
…
see more
Title
Lead Scientist
Dates Employed
Oct 2013 – Dec 2018
Employment Duration
5 yrs 3 mos
Location
Herndon, VA
• Develop algorithms for panchromatic, multispectral, infrared, hyperspectral, radar, and multi-temporal sensors and/or data that can be applied in a cloud environment.
• Integrate disparate tools in various programming languages and data formats using IDL, Matlab, and/or Python.
• Provide image analysis, data processing, data analysis, and analytic support using AGITK, Remote View, ENVI, ERDAS Imagine, ArcGis, OSSIM or IEC.
• Apply principles, methods, and knowledge of functional areas and exceptionally difficult and narrowly defined technical problems in engineering and other scientific applications.
• Revise existing systems and procedures to correct deficiencies and maintain effective data handling.
• Proposal and technical writing.
…
see more"
Troy Clements,"Senior member of a Counter Unmanned Aircraft Systems (CUAS) team responsible for accomplishing analyses, evaluations, plans, and coordination, of training support materials. Providing expert advice to personnel regarding analysis of policy, planning, and coordinating of the overall CUAS effort. Evaluates contributions from team members and integrates those results into a finished product. Analysis of basic study data to determine requirements and effectiveness of current and proposed policies.

Performs analysis, and policy evaluation of tasks related to spectrum compliance related to CUAS. Analyzes local policy and federal regulations to formulate answer for general inquires across the Army CUAS program. Experience includes assisting in drawing conclusions and devising solutions to problems relating to the improvement of the Organization structure, work effort and procedures efficiency. Experience in assisting in the development and maintenance of program milestones, progress monitoring, training support documents and virtual scenario development.",Senior Research Analyst (C-UAS)
Robert Taylor,"Strong, skilled Information Technology (IT) leader. An Information System (IS) professional with 24 years of U.S. Air Force Cybersecurity Operations Officer (Major) and Defense Intelligence Agency experience and expertise. Subject Matter Expert status background on all matters related to IT/IS, administrative services, including facilities management, sustainability, records management, identity control and access management. Trusted senior authoritative advisor to top echelon USAF and DIA leaders in the broad fields of major management and administrative systems, efficient management and administrative support, IT daily direction, policy guidance, procedural management, and planning, and resource management. Developer of overarching visions; expert at analyzing and articulating requirements for enterprise-wide information management programs, establishing performance standards, measuring compliance, and deriving policy for management governance.",Project Manager
Tyler Wiggins,"Proven operations leader who is highly proficient in personnel and resource management. Strengthened by experience working with multiple projects in fast-paced, multi-stakeholder environments to achieve top results. Currently, leveraging my leadership and management skills to bring value to my team as a Business Strategy Analyst at Booz Allen Hamilton.",Business Strategy Analyst
Shane Finders,"Experienced Senior Program Analyst with a demonstrated history of working in the management consulting industry. Skilled in Intelligence Analysis, Microsoft Word, Emergency Management, Operational Planning, and Team Building. Strong business development professional with a Bachelor of Science (BS) focused in Logistics Management from Bellevue University.",Senior Program Analyst
Justin Gentile,"Justin is a Senior Intelligence and National Security leader who retired in August 2019 with 22 years of military service in the United States Air Force. He is an award winning producer of measureable analytic products, which results in successful Left-of-Launch predictive analysis of adversarial operations. He has superb written and oral communication skills, which is apparent when he is briefing measurable results to senior leadership. Justin is phenomenal at leading the innovating, automating, planning, staffing, budgeting of technology and operations of intelligence organizations throughout the United States and Europe.

Specialties include Signals Intelligence (SIGINT), Electronic Signals Intelligence Exploitation (ELINT), and multi-INT analysis for the United States Air Force, the National Security Agency (NSA), and Special Operations Command Europe (SOCEUR). Justin possess a comprehensive background in intelligence research and analysis as well as gathering data, analyzing findings, and professionally documenting and conveying results. Justin is the recipient of multiple awards for heroism, outstanding performance and professionalism. His career is supported by a Master of Arts in Intelligence Studies and Collection as well as a Bachelor's of Science in Technical Management.","In this role, I am a part of the Space Security and Defense Program, which is a combined effort between the U.S. Space Command and the National Reconnaissance Office. I complete tasking that results in the delivery and implementation of actionable solutions that find ways to protect National Space Security systems within key mission areas (Operations, SATCOM, Position-Navigation and Timing, Missile Warning, Cyber/Non-Kinetic Operations, Space Situational Awareness (SSA), Indications and Warning (I&W), and Intelligence - Surveillance - Reconnaissance (ISR)). Initiation of several space protection vulnerability, susceptibility, and mitigation assessment activities for the purpose of delivering recommendations into requirements, budgeting, acquisition, and operational processes.
…
see more"
Joel Siegel,Experienced Program Analyst with a demonstrated history of project management in the transportation industry. Skilled,Senior Aviation and Environmental Specialist
Rob Gilchrest,"Spent 21 years in the United States Air Force as an active duty officer in Aircraft Maintenance, Logistics, and Supply Chain Management. I have successfully led multiple diverse groups of military and civilian personnel, as large as 800+, at both overseas and in the CONUS to include geographically separated units. I have commanded two squadrons, served as a deputy group commander, and as the Deputy A4 (Logistics) for the U.S. Central Command Area of Responsibility. I have also served as a staff officer at Headquarters, United States Air Forces, Europe and as Chief, Commander's Action Group reporting directly to a 2-star General. I also have experience with strategic planning, budgeting and operations planning &execution.",Associate
David Salomon,EMPTY,Consultant providing military expertise to the defense industry
John Fisch,"Specialties: Maintenance/logistics planning, execution and sustainment","I provide logistics and maintenance expertise to clients wishing to acquire, sustain, and retire space, missile and munitions systems."
Thomas (Craig) Starnes,"Thomas (Craig) Starnes is a leader in strategic innovation, focusing on global defense analytics. Craig has been with Booz Allen for more than 28 years, primarily focusing on defense-based clients.

Prior to his current role, Craig led an integrated management team (IMT) consisting of more than 700 professionals focused on delivering a comprehensive set of services and capabilities across the U.S. Air Force headquarters and operations market. Craig was responsible for driving favorable business outcomes across the IMT. He was also the location general manager for the St. Louis/O’Fallon geography. His roles included delivering integrated solutions across a host of clients to include the Air Mobility Command, Air Force Space Command, Air Force Network Integration Center, Cyber Support Squadron, and the United States Transportation Command.

Additionally, Craig led the firm’s nuclear business, comprised of work across the Air Force Nuclear Weapons Center and Air Force Global Strike Command. In this role, he led execution teams delivering against engineering, cybersecurity, specialized analytics/scientific capabilities, systems development, and mission assurance assignments for weapons system and automated information systems.

Craig has led client engagements across a host of defense markets over the years to include the U.S. Army Program Analysis Integration Office, Army Program Executive Officer, Enterprise Information Systems; the Missile Defense Agency, Space and Missile Development Command, MARCORSYSCOM, HQMC C4; and the Information Technology Agency.

Craig holds a B.S. in statistics and an M.S. in mathematics, both from Virginia Tech.",Vice President
Benjamin Graver,Experienced Senior Project Manager with a demonstrated history of working in the Public Safety industry. Skilled in,Senior Consultant
Christopher Bowens,"Experienced Technical Specialist with a demonstrated history of working in the management consulting industry. Skilled in Customer Service, Interpersonal Skills, Human Resources, Management, and Leadership. Strong information technology professional with a Bachelor’s degree focused in Environmental
Management from The University of Maryland Global Campus.",Staff Technical Specialist
Paul Snider,EMPTY,Senior Associate
Robert Pata,"For more than 26 years in military service, I've been leading and working with logistics and support teams to successfully solve issues. My goal is to find information about organizations that want to capitalize on this experience. If you can help me, please reach out. I'd like to find out more about your team.

Key Skills: Project Management, Emergency Management and Response, International Experience, Compliance, Process Improvement, Active Top Secret (SCI) security clearance",Logistics Project Manager
Charisse S.,"Years ago I applied for the sheriff’s academy because I was determined to “save the world”. Regardless of how big of an idea or dream I had, I always felt like anything was possible. Yet, as much as I wanted to become a county sheriff, it just didn’t happen for me.

Instead, a different opportunity opened up...one that would change my life forever and satisfy my “save the world” dream. Instead of serving my county, I decided I wanted to serve my country.

By 2011, I enlisted in the U.S. Air Force and gained some of the most memorable experiences of my life. From traveling to Europe, the Middle East and all over the United States, I developed lifelong friendships and professional skills that would eventually give me ample room to grow in my career.

In fact, my career didn’t stop here. It expanded further in 2017, when I deciding to take on a new venture that would reestablish my footing outside of the military. However, since my love for serving didn’t cease at the end of my military contract, I chose to enlist in the Air Force reserves.

Fast forward to today, I’m now currently working at an esteemed professional consulting firm who’s values match my own. As a senior consultant at Booz Allen Hamilton, I’ve gained a new sense of accomplishment by joining in the effort to help others with new innovative ideas, problem solving and developing analytic methods for creating the art of the possible.

Working at a talented firm, supporting the Department of Defense and continuing my Military career as an Air Force Reservist, I’m very proud of my accomplishments and I can only imagine what more life has in store for me.

My combined years of military and consulting experience has increased my capabilities and understanding of the following:

- Cost Estimating
- Acquisitions
- Program policies
- Intermediate data science
- MS Outlook, Word, Excel, PowerPoint
- Professional networking
- Effective communication
- Stakeholder engagement
- Federal passport and visa process
- Relocation counseling
- Military separation and retirement processes
- Working in a diverse community of military branches (U.S. and international)

I’m always looking for more opportunities to learn and network with colleagues. So please feel free to click “Connect”.


""We cannot live only for ourselves. A thousand fibers connect us with our fellow men.""
– Herman Melville",Cost Analyst
John Perez,"In my over 22 years as an officer in the United States Air Force following my graduation from the University of Notre Dame, I was privileged to witness and shape some pretty exciting events! I started out as an ICBM officer during the Cold War, then switched gears and became one of the space professionals responsible for designing, contracting, launching, and operating the latest in communications satellites. As an arms control inspector, I completed the process of ""closing out"" the cold war. My technical and diplomatic background then led me to a role where as an analyst and strategic planner I helped shape the Air Force's future for the next generation and beyond.

My years at the U.S. Southern Command turned me into a Latin America / Caribbean subject matter expert. I worked across the 41 nations and territories of the region helping to build ""smart power"": using non-traditional means in creative ways to address our countries' shared challenges and build security, stability, and strong partnerships throughout the Americas.

Now I've transitioned into a new career where I can keep putting my technical, analytical--and most important, people--skills to the best use possible. Booz Allen Hamilton, a global strategy and technology consulting firm, works with clients to deliver results that endure. My current focus as a Booz Allen associate builds on both my high-tech and international relations experience. I am now leading efforts at the U.S. Southern Command leveraging cutting-edge science and technology to develop creative solutions to U.S. and partner nation security challenges. It's a great time!

Specialties: Operations management, program management, strategic analysis, technology assessment, long-range planning, space systems, satellite communications, national security, international relations, military affairs, Latin America & the Caribbean, homeland security, homeland defense, legislative affairs, strategic communications.","Title
Senior Associate
Dates Employed
Jan 2017 – Present
Employment Duration
3 yrs 11 mos
Location
Miami, Florida, United States
Title
Lead Associate - Science, Technology & Experimentation Program Manager
Dates Employed
2009 – Jan 2017
Employment Duration
8 yrs
Booz Allen Hamilton, a global strategy and technology consulting firm, works with clients to deliver results that endure. My current focus as a Booz Allen lead associate is on leading efforts at the U.S. Southern Command to develop creative solutions to U.S. and partner nation security challenges throughout Latin America and the Caribbean.

The U.S. Southern Command is the U.S. military's organization tasked with the conduct of military operations and security cooperation activities in 41 countries/territories south of the USA in Central America, South America, and the Caribbean. Its efforts cover some 16 million square miles and serve to defend and improve the lives of over half a billion people throughout the Americas.

Southcom's Science, Technology, and Experimentation Division leverages the latest technological advances to address issues involving communications, disaster relief, emergency preparedness, alternative energy, the environment, telemedicine, remote sensing, and many more areas. It's exciting to apply the newest-of-the-new to solving some of both our oldest and newest challenges.
…
see more"
Thomas (T-Mac) McCarthy,"Energetic and accomplished Senior Aviation Operations Manager with 30 years of progressive leadership growth and aircraft maintenance experience in the USAF. Proven track record of managing programs valued from $26M to $3.5B on a global scale. Results-focused leader with a history of motivating and inspiring diverse teams from 10 to over 400 maintainers in up to 17 specialties. Skilled in maintenance operations, finding and implementing lasting solutions to complex problems. Adept at working across maintenance and logistics, through manning challenges and all aircraft operations. Skilled communicator specializing in building and maintaining business relationships. Seeking challenging work as a defense contract team leader in the military aviation industry.","Title
PMP; Associate
Dates Employed
Jan 2017 – Present
Employment Duration
3 yrs 11 mos
Location
Norfolk, Virginia Area
Currently technical writer of a Capability Development Document for a DoD acquisitions program. Recently performed an Alternative Cost Analysis and assisted with a Capability Description. Aided proposal teams on four different projects. Created job requisitions, screened candidates, researched past performance qualifications, distributed past performance questionnaires to clients and lent subject matter expertise to proposal drafts. Won work for an Air Education and Training Command contract.
Title
Senior Consultant
Dates Employed
Nov 2015 – Dec 2016
Employment Duration
1 yr 2 mos
Led logistics management process improvement project. Provided technical analysis of accountable asset controls. Developed/enacted process improvement plan. Enacted solutions to control quality of record keeping data. Assembled team and diagrammed processes. Authored Standard Operating Procedure to codify asset accountability roles, responsibilities, procedures. Delivered SOP and inventory analysis report.

Managed readiness maturity assessment model development. Performed scope planning, monitoring and controlling; confirmed readiness measurement areas through stakeholder meetings; developed as-is state measurement matrix and field assessment sheets. Performed value stream analysis on logistics management solutions enabling decision makers to target client expenditures that produce greatest impact. Turned over capability model to determine client’s state of readiness.
…
see more"
Edward Rojo,"Experienced, enthusiastic team player with a demonstrated history of working in the aviation and aerospace industry. Skilled in U.S. Department of Defense, Leadership, Human Resources, Project Management, Government Contracting, Aerospace, Training, Organizational Learning, Agile Methodologies, and Operational Planning. Strong professional with a Master's degree focused in Business and Organization Security Management from Webster University.",Training Lead/Lead Engineer
Nina Weissgerber,"Electrical engineering bachelor and master degree. Held various project management and leadership positions. Experienced in research laboratory environment, including cleanroom experience. Experience with SolidWorks, LabView, and Microsoft Office software. Great problem solver and team member, learn by example and lead by example. Adaptable to different situations and changing environment or requirements.",Associate
